鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,粉土(%),黏土(%),砂土(%),礫石(%),SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
037790031060921_DA0003,304683.36,2769864.25,2.55,3.0,2.0,5.0,CL,1.76,34.8,,14.0,S-2-2,44.0,50.0,6.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,5.0,1.76,3.525,1.5,2.775,2.775,94.0,5.046,4.271,4.270999999999999,171.0,0.009,162.5,第三類地盤,162.5,6.0,10.2,17.24,0.183,7.3,0.069,0.6,0.8,1.072,0.974,0.051,0.196,3.0,7.1,0.057,0.6,0.8,1.151,0.974,0.043,0.211,3.0,7.5,0.32,0.6,0.8,1.0,0.974,0.239,0.183,0.765,0.0,0.0,3.036,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,4.05,4.5,2.0,6.0,ML,1.9,24.9,,0.0,S-3-2,53.0,19.0,28.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,6.0,1.9,5.025,1.5,4.275,4.275,72.0,7.791,5.516,5.516,181.71,0.008,162.5,第三類地盤,162.5,7.2,12.24,19.688,0.212,7.3,0.069,0.6,0.8,1.072,0.959,0.06,0.227,3.0,7.1,0.057,0.6,0.8,1.151,0.959,0.05,0.244,3.0,7.5,0.32,0.6,0.8,1.0,0.959,0.282,0.212,0.753,0.0,0.0,2.913,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,5.55,6.0,2.0,2.0,ML,1.79,28.9,,0.0,S-4-2,51.0,10.0,39.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,2.0,1.79,6.525,1.5,5.775,5.775,61.0,10.559,6.784,6.7835,125.99,0.012,162.5,第三類地盤,162.5,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.942,0.065,0.12,1.836,7.1,0.057,0.6,0.8,1.151,0.942,0.054,0.129,2.365,7.5,0.32,0.6,0.8,1.0,0.942,0.305,0.112,0.367,0.0,0.0,6.753,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,7.05,7.5,2.0,10.0,SM,2.16,16.9,,0.0,S-5-2,24.0,8.0,68.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,10.0,2.16,8.025,1.5,7.275,7.275,32.0,13.521,8.246,8.246,172.35,0.009,162.5,第三類地盤,162.5,12.0,20.4,28.717,0.397,7.3,0.069,0.6,0.8,1.072,0.922,0.067,0.425,3.0,7.1,0.057,0.6,0.8,1.151,0.922,0.056,0.457,3.0,7.5,0.32,0.6,0.8,1.0,0.922,0.315,0.397,1.262,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,8.55,9.0,2.0,3.0,ML,1.78,35.3,,0.0,S-6-2,78.0,17.0,5.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,3.0,1.78,9.525,1.5,8.775,8.775,95.0,16.476,9.701,9.700999999999999,144.22,0.01,162.5,第三類地盤,162.5,3.6,6.12,12.344,0.134,7.3,0.069,0.6,0.8,1.072,0.896,0.068,0.144,2.116,7.1,0.057,0.6,0.8,1.151,0.896,0.057,0.154,2.727,7.5,0.32,0.6,0.8,1.0,0.896,0.317,0.134,0.423,0.0,0.0,4.858,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,10.05,10.5,2.0,10.0,ML,1.89,25.2,,0.0,S-7-2,50.0,6.0,44.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,10.0,1.89,11.025,1.5,10.275,10.275,56.0,19.229,10.954,10.9535,215.44,0.007,162.5,第三類地盤,162.5,12.0,20.4,29.48,0.435,7.3,0.069,0.6,0.8,1.072,0.862,0.067,0.466,3.0,7.1,0.057,0.6,0.8,1.151,0.862,0.056,0.501,3.0,7.5,0.32,0.6,0.8,1.0,0.862,0.315,0.435,1.382,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,11.55,12.0,2.0,11.0,ML,1.78,31.0,,0.0,S-8-2,54.0,14.0,32.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,11.0,1.78,12.525,1.5,11.775,11.775,68.0,21.981,12.206,12.206000000000001,222.4,0.007,162.5,第三類地盤,162.5,13.2,22.44,31.928,0.715,7.3,0.069,0.6,0.8,1.072,0.819,0.066,0.766,3.0,7.1,0.057,0.6,0.8,1.151,0.819,0.055,0.823,3.0,7.5,0.32,0.6,0.8,1.0,0.819,0.307,0.715,2.329,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,13.05,13.5,2.0,9.0,SM,1.85,25.3,,0.0,S-9-2,38.0,9.0,53.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,9.0,1.85,14.025,1.5,13.275,13.275,47.0,24.704,13.429,13.428500000000001,166.41,0.009,162.5,第三類地盤,162.5,10.8,18.36,27.032,0.339,7.3,0.069,0.6,0.8,1.072,0.77,0.063,0.363,3.0,7.1,0.057,0.6,0.8,1.151,0.77,0.053,0.39,3.0,7.5,0.32,0.6,0.8,1.0,0.77,0.295,0.339,1.151,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,14.55,15.0,2.0,1.0,CL,1.84,31.1,,12.0,S-10-2,72.0,24.0,4.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,1.0,1.84,15.525,1.5,14.775,14.775,96.0,27.471,14.696,14.696000000000003,100.0,0.015,162.5,第三類地盤,162.5,1.2,2.04,7.448,0.091,7.3,0.069,0.6,0.8,1.072,0.718,0.06,0.098,1.63,7.1,0.057,0.6,0.8,1.151,0.718,0.05,0.105,2.101,7.5,0.32,0.6,0.8,1.0,0.718,0.279,0.091,0.326,0.0,0.0,2.641,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,16.05,16.5,2.0,4.0,CL,1.79,33.2,,13.0,S-11-2,71.0,26.0,3.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,4.0,1.79,17.025,1.5,16.275,16.275,97.0,30.194,15.919,15.918500000000002,158.74,0.009,162.5,第三類地盤,162.5,4.8,8.16,14.792,0.158,7.3,0.069,0.6,0.8,1.072,0.668,0.057,0.169,2.996,7.1,0.057,0.6,0.8,1.151,0.668,0.047,0.182,3.0,7.5,0.32,0.6,0.8,1.0,0.668,0.264,0.158,0.599,0.0,0.0,1.12,7.3,0.6,0.8
