計畫名稱,鑽孔編號,TWD97_X,TWD97_Y,鑽孔地表高程,water_depth(m),試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,N_value,統一土壤分類,上限深度(公尺),下限深度(公尺),含水量(岩石)(%),岩心長度(cm),岩心直徑(cm),單軸壓縮強度(kg/cm2),含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,AASHTO分類,塑性限度(%),細料(%),單位重(t/m3),比重(岩石),縮性指數(%),乾單位重(t/m3),D10(mm),D30(mm),D60(mm),D50(mm),尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體初始單位重(t/m3),統體密度(t/m3),破壞應變(%),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),消散指數1(%),消散指數2(%),凝聚力(kg/cm2),內摩擦角(度),壓縮指數(Cc),有效凝聚力(kg/cm2),有效內摩擦角(度),回脹應變量(%),試體初始含水量(%),試體初始單位重(t/m3),再壓指數(Cr),預壓密壓力(kg/cm2),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),初始含水量(%),初始單位重(t/m3),彈性模數(kg/cm2),乾密度(t/m3),孔隙率(岩石)(%),破壞載重(kg),點載重強度指數(kg/cm2),點載重強度指數(50mm)(kg/cm2),有效尖峰凝聚力(kg/cm2),有效尖峰內摩擦角(度),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,有機物(%),硫酸鹽含量(ppm),亞硫酸鹽含量(ppm),pH 值,氯化物含量(ppm)
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-03,184759.176,2516624.711,30.69,3.2,S-6,,,S-6,6,CL,11.55,12,,,,,21.6,27.5,11.3,2.74,0,31.8,,,,0.63,,,68.2,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-03,184759.176,2516624.711,30.69,3.2,S-7,,,S-7,17,ML/SM,13.55,14,,,,,21.5,,,2.69,0,49.8,,,,0.6,,,50.2,,,,,0.01,,0.08,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-03,184759.176,2516624.711,30.69,3.2,UC-46,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,R-2,,,17,18,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-03,184759.176,2516624.711,30.69,3.2,TC-11,三軸壓縮強度試驗,TRIAXIAL COMPRESSION TEST,R-1,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,38,,,,,,,1.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-1,,,S-1,4,ML,1.55,2,,,,,25,23.9,3,2.72,0,4.4,,,,0.68,,,95.6,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-2,,,S-2,4,CL,3.55,4,,,,,27.1,28.1,8.4,2.73,0,12.8,,,,0.74,,,87.2,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,DS-8,直接剪力強度試驗,DIRECT SHEAR TEST,T-1,,,4.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,0,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,T-1,,,T-1,,ML/SM,4.5,5.55,,,,,22.5,,,2.7,0,47,,,,0.62,,,53,,,,,0.01,,0.08,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-3,,,S-3,2,CL-ML,5.55,6,,,,,28,22.7,6.6,2.73,0,9.8,,,,0.76,,,90.2,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-4,,,S-4,8,ML,7.55,8,,,,,26.6,,,2.73,0,7.2,,,,0.73,,,92.8,,,,,0.01,,0.03,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,T-2,,,T-2,,ML,8.2,8.95,,,,,24.7,42.7,3.8,2.71,0,10,,,,0.67,,,90,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,UC-4,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-2,,,8.2,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-5,,,S-5,10,ML/SM,9.55,10,,,,,20.6,,,2.69,0,49.2,,,,0.6,,,50.8,,,,,0.01,,0.08,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,T-3,,,T-3,,ML,10.8,11.55,,,,,20.1,,,2.69,0,44.8,,,,0.61,,,55.2,,,,,0.01,,0.08,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,TC-3,三軸壓縮強度試驗,TRIAXIAL COMPRSSION TEST,T-3,,,10.8,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-6,,,S-6,14,SM,11.55,12,,,,,23.2,,,2.69,0,65.4,,,,0.62,,,34.6,,,,,0.02,,0.12,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-7,,,S-7,15,SM,13.55,14,,,,,24.9,,,2.68,0,76.6,,,,0.67,,,23.4,,,,,0.04,,0.12,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-8,,,S-8,,CL,15.55,16,,,,,29.9,30.4,9.6,2.71,0,1.8,,,,0.81,,,98.2,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-9,,,S-9,8,CL/CH,17.55,18,,,,,27.5,49.7,25.8,2.79,0,7.4,,,,0.79,,,92.6,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-10,,,S-10,8,CL,19.55,20,,,,,27.7,47,24.9,2.77,0,4.8,,,,0.87,,,95.2,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-11,,,S-11,25,SM,21.55,22,,,,,22.2,,,2.72,0,84.4,,,,0.66,,,15.6,,,,,0.03,,0.16,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_EK-07-04,184667.1764,2516503.712,29.26,1.7,S-12,,,S-12,26,SM,23.55,24,,,,,27.7,,,2.72,0,83.2,,,,0.75,,,16.8,,,,,0.03,,0.16,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-1,,,S-1,2,SM/ML,1.55,2,,,,,16.4,,,2.73,0,56,,,,0.79,,,44,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-2,,,S-2,4,SM,3.55,4,,,,,21.8,,,2.71,0,59,,,,0.66,,,41,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-3,,,S-3,5,CL,5.55,6,,,,,25.5,31.5,16.4,2.72,0,4,,,,0.73,,,96,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-4,,,S-4,9,CL/CH,7.55,8,,,,,33.1,49.3,27,2.8,0,20.6,,,,0.95,,,79.4,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-5,,,S-5,10,SM,9.55,10,,,,,25.8,,,2.75,0,65.6,,,,0.72,,,34.4,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,UC-17,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-1,,,10.75,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-6,,,S-6,10,CH,11.55,12,,,,,35,59.6,33.6,2.79,0,1,,,,0.99,,,99,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-7,,,S-7,9,CL,13.55,14,,,,,33.2,43,20,2.77,0,9.8,,,,0.95,,,90.2,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-8,,,S-8,11,CL,15.55,16,,,,,35.2,44.8,21.2,2.76,0,10,,,,0.99,,,90,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-9,,,S-9,,CL/ML,17.55,18,,,,,29.9,32.2,9.2,2.79,0,14.4,,,,0.85,,,85.6,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,T-2-1,,,T-2-1,,CL,18,18.7,,,,,36.7,38.4,14.5,2.8,0,3.2,,,,1.07,,,96.8,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,UC-18,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-2-1,,,18,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,T-2-2,,,T-2-2,,SM,18.7,18.8,,,,,24.4,,,2.74,0,59.2,,,,0.73,,,40.8,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,T-3,,,T-3,,SM,19.35,20.15,,,,,26.9,,,2.75,0,72.8,,,,0.77,,,27.2,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-10,,,S-10,8,SM,20.15,20.6,,,,,23.3,,,2.75,0,76.2,,,,0.67,,,23.8,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-11,,,S-11,27,SM/ML,21.55,22,,,,,25.3,,,2.74,0,50.2,,,,0.74,,,49.8,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-09-11,184356.1784,2514576.72,25.83,2.65,S-12,,,S-12,16,ML,22.7,23.15,,,,,31.2,,,2.76,0,25.2,,,,0.88,,,74.8,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-1,,,S-1,6,CL/ML,1.55,2,,,,,22.8,29.7,8,2.75,0,7.2,,,,0.65,,,92.8,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-2,,,S-2,6,CH,3.55,4,,,,,33,50.7,23.9,2.8,0,4.4,,,,0.95,,,95.6,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-3,,,S-3,3,CL,5.55,6,,,,,36.7,38.5,15.7,2.8,0,0.4,,,,1.04,,,99.6,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-4,,,S-4,5,CL/ML,7.55,8,,,,,36.1,45.7,19,2.81,0,0.6,,,,1.04,,,99.4,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,T-2,,,T-2,,CL,8.8,9.5,,,,,32.6,42.1,17.4,2.79,0,2.8,,,,0.91,,,97.2,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,UC-23,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-2,,,8.8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-5,,,S-5,5,ML,9.55,10,,,,,35.4,44,15.3,2.82,0,1,,,,1.01,,,99,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-6,,,S-6,4,CL,11.55,12,,,,,26.6,29.4,9.2,2.77,0,31.4,,,,0.74,,,68.6,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-7,,,S-7,19,SP-SM,13.55,14,,,,,25.4,,,2.73,0,88.4,,,,0.73,,,11.6,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-8,,,S-8,14,SM,15.55,16,,,,,30.5,,,2.75,0,75.2,,,,0.88,,,24.8,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-9,,,S-9,14,ML,18.45,18.9,,,,,31.5,,,2.76,0,11.8,,,,0.89,,,88.2,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-10,,,S-10,17,ML,19.55,20,,,,,28.1,,,2.75,0,16.6,,,,0.79,,,83.4,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-10-11,184261.179,2514013.723,22.06,1.53,S-11,,,S-11,100,,30,30.17,,,,,9.7,20.7,7,2.75,0,20.4,,,,0.33,,,79.6,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-1,,,S-1,6,SM,1.55,2,,,,,21,,,2.7,0,57.6,,,,0.61,,,42.4,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-2,,,S-2,3,CL-ML,3.55,4,,,,,23.4,24.3,5.1,2.73,0,43.4,,,,0.64,,,56.5,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,UC-27,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-1,,,4.8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-3,,,S-3,19,CH,5.5,5.95,,,,,28.9,57.2,29.6,2.77,0,0.4,,,,0.83,,,99.6,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-4,,,S-4,3,,7.55,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-5,,,S-5,5,CL,9.55,10,,,,,35.5,46.7,21.4,2.79,0,3.8,,,,1.02,,,96.2,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-6,,,S-6,3,CL/ML,11.55,12,,,,,38,45.8,19.3,2.81,0,1.2,,,,1.11,,,98.8,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,UC-28,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-2,,,12.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-7,,,S-7,5,CL/ML,13.5,13.95,,,,,38.2,42.3,16.3,2.79,0,7.8,,,,1.11,,,92.2,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-8,,,S-8,5,CL/ML,15.55,16,,,,,40.1,39.5,14.4,2.8,0,0.6,,,,1.12,,,99.4,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-9,,,S-9,6,CL/ML,17.55,18,,,,,33.1,,,2.73,0,39.6,,,,0.9,,,60.4,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-10,,,S-10,25,SM,19.55,20,,,,,22.4,,,2.71,0,86.4,,,,0.66,,,13.6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-11,,,S-11,39,SM,21.55,22,,,,,21.5,33.5,8.9,2.69,0,86.6,,,,0.62,,,13.4,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-12,,,S-12,,CL,23.55,24,,,,,33.4,41.3,18.6,2.76,0,2.8,,,,0.94,,,97.2,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,UC-29,單軸壓縮強度試驗,UNCONFINED COMPRESSION TEST,T-3,,,24.8,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-13,,,S-13,7,CL,25.4,25.85,,,,,36.7,44.3,19.2,2.76,0,1.2,,,,1.05,,,98.8,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-14,,,S-14,,SM,27.55,28,,,,,21.3,,,2.7,0,68.6,,,,0.65,,,31.4,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-15,,,S-15,6,CL-ML,29.55,30,,,,,19.8,23.4,5.5,2.71,0,27.8,,,,0.58,,,72.2,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-16,,,S-16,17,CL,31.55,32,,,,,18.4,25.1,9.5,2.74,0,23.2,,,,0.52,,,76.8,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-17,,,S-17,38,CL,33.55,34,,,,,15.3,23.7,8.4,2.74,0,24,,,,0.44,,,76,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_GK-11-11,184221.1795,2513143.727,24.74,1.7,S-18,,,S-18,>100,,34.55,35,,,,,13,24.7,10.1,2.75,0,16,,,,0.39,,,84,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_SK-04-01,187643.1629,2518090.706,63.96,8.5,S-1,,,S-1,30,,0.55,1,,,,,10.7,,,2.7,0,42,,,,0.41,,,58,,,,,0,,0.07,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_SK-04-01,187643.1629,2518090.706,63.96,8.5,DS-37,直接剪力強度試驗,DIRECT SHEAR TEST,R-2,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線初步設計地質調查,0105338335602_SK-04-01,187643.1629,2518090.706,63.96,8.5,S-2,,,S-2,>100,,25,25.06,,,,,8,,,2.71,,,,,,0.28,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二高後續高雄環線細部設計地質探查,0105338335603_BK-07-15,184572.1769,2516468.712,28.66,1.2,S-1,,,S-1,2,ML,1.55,2,,,,,23.5,23.4,3.9,2.71,0,24.2,,,,0.65,,,75.8,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
