計畫名稱,鑽孔編號,TWD97_X,TWD97_Y,鑽孔地表高程,water_depth(m),試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,N_value,統一土壤分類,上限深度(公尺),下限深度(公尺),含水量(岩石)(%),岩心長度(cm),岩心直徑(cm),單軸壓縮強度(kg/cm2),含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,AASHTO分類,塑性限度(%),細料(%),單位重(t/m3),比重(岩石),縮性指數(%),乾單位重(t/m3),D10(mm),D30(mm),D60(mm),D50(mm),尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體初始單位重(t/m3),統體密度(t/m3),破壞應變(%),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),消散指數1(%),消散指數2(%),凝聚力(kg/cm2),內摩擦角(度),壓縮指數(Cc),有效凝聚力(kg/cm2),有效內摩擦角(度),回脹應變量(%),試體初始含水量(%),試體初始單位重(t/m3),再壓指數(Cr),預壓密壓力(kg/cm2),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),初始含水量(%),初始單位重(t/m3),彈性模數(kg/cm2),乾密度(t/m3),孔隙率(岩石)(%),破壞載重(kg),點載重強度指數(kg/cm2),點載重強度指數(50mm)(kg/cm2),有效尖峰凝聚力(kg/cm2),有效尖峰內摩擦角(度),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,有機物(%),硫酸鹽含量(ppm),亞硫酸鹽含量(ppm),pH 值,氯化物含量(ppm)
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-4-2,2,ML,5.55,6,,,,,25.9,,1.3,2.67,0,47,53,0,,0.82,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-5-2,2,ML,7.05,7.5,,,,,24.2,,6.4,2.66,0,25,71,4,,0.76,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,P-1,,,7.59,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.838,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-6-2,3,ML,8.55,9,,,,,22.8,,1.9,2.63,0,43,57,0,,0.64,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-7-2,3,ML,10.05,10.5,,,,,26.4,,5.4,2.67,0,31,66,3,,0.72,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-8-2,8,SW-SM,11.55,12,,,,,14.9,,NP,2.6,4,86,10,0,,0.39,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-9-2,15,SW,13.05,13.5,,,,,14.1,,NP,2.58,10,88,2,0,,0.41,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,T-1,,,14,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-10-2,7,CL,14.8,15.25,,,,,27.7,,21,2.8,0,3,66,31,,0.85,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-11-2,6,CL,16.05,16.5,,,,,28.2,,19.8,2.75,0,2,71,27,,0.78,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,T-2,,,17,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,17,,0,23.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-12-2,9,CL,17.8,18.25,,,,,26.9,,24.8,2.75,0,1,63,36,,0.77,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-13-2,10,ML,19.05,19.5,,,,,24.2,,1.7,2.62,0,46,54,0,,0.66,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-14-2,7,ML,20.55,21,,,,,25.9,,7.6,2.66,0,28,56,16,,0.77,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-15-2,7,ML,22.05,22.5,,,,,27,,4.4,2.67,0,21,63,16,,0.73,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-16-1,26,SM,23.55,24,,,,,21.3,,NP,2.6,0,82,18,0,,0.58,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-17-2,33,SM,25.05,25.5,,,,,19.5,,NP,2.6,0,86,14,0,,0.55,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-18-1,>100,SM,26,26.26,,,,,15,,NP,2.66,0,82,18,0,,0.44,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,R-1,,,28.2,28.5,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-12,184612.4,2516525.5,29.38,3.2,,,,S-1-2,4,ML,1.05,1.5,,,,,20.2,,1.7,2.67,0,31,66,3,,0.64,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-12,184612.4,2516525.5,29.38,3.2,,,,S-2-2,4,ML,2.55,3,,,,,28.4,,6.6,2.66,0,20,64,16,,0.76,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-12,184612.4,2516525.5,29.38,3.2,,,,S-3-2,3,ML,4.05,4.5,,,,,24.6,,6.8,2.7,0,21,68,11,,0.74,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-12,184612.4,2516525.5,29.38,3.2,,,,S-4-2,3,ML,5.55,6,,,,,24.2,,0.1,2.7,0,40,60,0,,0.69,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-12,184612.4,2516525.5,29.38,3.2,,,,T-1,,,6.5,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
