計畫名稱,鑽孔編號,試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體密度(t/m3),空隙比,D10(mm),D30(mm),D60(mm),統體單位重(t/m3),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,壓縮指數(Cc),再壓指數(Cr),預壓密壓力(kg/cm2),試體初始含水量(%),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),座標系統,孔口X座標,孔口Y座標,尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),試體最終單位重(t/m3),細料(%),乾密度(t/m3),凝聚力(kg/cm2),內摩擦角(度),有效凝聚力(kg/cm2),有效內摩擦角(度),初始含水量(%),最終含水量(%),初始單位重(t/m3),初始飽和度(%),破壞時孔隙水壓參數A,壓密係數(10^-3cm2/s),不擾動試體初始單位重(t/m3),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),試體初始單位重(t/m3),最終單位重(t/m3),不擾動剪力強度(kg/cm2),重模剪力強度(kg/cm2),十字片直徑(mm),十字片長度(mm),乾單位重(t/m3),孔口Y座標.1,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-25,40.0,40.5,SM,20.1,--,NP,2.67,,,,,,0.72,,,,1.87,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-26,41.5,42.0,SM,12.5,--,NP,2.65,,,,,,0.47,,,,2.02,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-27,43.0,43.5,CL,32.3,32.5,13.5,2.73,,,,,,0.88,,,,1.92,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-28,44.5,45.0,ML,23.6,--,NP,2.68,,,,,,0.64,,,,2.02,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-29,46.0,46.5,CL,25.8,32.9,12.4,2.71,,,,,,0.8,,,,1.89,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,306783.2249,2771573.851,3.1,105.26
,01016607DG168_SA-4,,,,,46.54,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,30+30+40,98.33,False,306783.2249,2771573.851,3.1,105.26
,01016607DG168_SA-4,,,,,56.48,57.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7+11+13,93.28,False,306783.2249,2771573.851,3.1,105.26
,01016607DG168_SA-4,,,,,58.0,58.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8+20+31,99.97,False,306783.2249,2771573.851,3.1,105.26
,01016607DG168_SA-4,,,,,59.47,60.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,11+17+29,95.97,False,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-1,2.5,3.0,CL,30.6,30.7,8.8,2.72,,,,,,1.01,,,,1.76,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-2,4.0,4.5,CL-ML,35.8,28.4,6.7,2.71,,,,,,1.08,,,,1.77,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-3,5.5,6.0,CL-ML,37.9,26.4,6.2,2.71,,,,,,1.13,,,,1.75,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,T-1,7.1,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,0.0,33.4,,,,,,,,,,,,,,,,,,,,,,306794.0439,2771606.579,1.21,105.39
